"Census Tract","Census Block Group","County","County ID","Region","Economic Domain Score (by region)","Environmental Domain Score (by region)","Education Domain Score (by region)","Composite Index Score","Final Category"
"06001441503","#N/A","Alameda","06001","Bay Area Region","0.683","0.013","0.689","-0.033","Moderate Resource"
"06001441521","#N/A","Alameda","06001","Bay Area Region","0.554","0.839","0.866","0.494","High Resource"
"06001441522","#N/A","Alameda","06001","Bay Area Region","0.394","0.47","0.688","0.154","Moderate Resource"
"06001441523","#N/A","Alameda","06001","Bay Area Region","0.581","0.238","0.917","0.42","High Resource"
"06001441524","#N/A","Alameda","06001","Bay Area Region","0.725","0.759","0.912","0.632","Highest Resource"
"06001441601","#N/A","Alameda","06001","Bay Area Region","0.357","0.47","0.8","0.21","High Resource"
"06001441602","#N/A","Alameda","06001","Bay Area Region","0.486","0.352","0.647","0.164","Moderate Resource"
"06001441700","#N/A","Alameda","06001","Bay Area Region","0.304","0.416","0.643","0.042","Moderate Resource"
"06001441800","#N/A","Alameda","06001","Bay Area Region","0.362","0.825","0.857","0.346","High Resource"
"06001441921","#N/A","Alameda","06001","Bay Area Region","0.538","0.88","0.611","0.278","High Resource"
"06001441923","#N/A","Alameda","06001","Bay Area Region","0.403","0.806","0.754","0.284","High Resource"
"06001441924","#N/A","Alameda","06001","Bay Area Region","0.646","0.828","0.833","0.513","Highest Resource"
"06001441925","#N/A","Alameda","06001","Bay Area Region","0.599","0.95","0.87","0.565","Highest Resource"
"06001441926","#N/A","Alameda","06001","Bay Area Region","0.33","0.743","0.573","0.058","Moderate Resource"
"06001441927","#N/A","Alameda","06001","Bay Area Region","0.485","0.856","0.685","0.309","High Resource"
"06001442000","#N/A","Alameda","06001","Bay Area Region","0.644","0.807","0.965","0.658","Highest Resource"
"06001442100","#N/A","Alameda","06001","Bay Area Region","0.779","0.868","0.965","0.758","Highest Resource"
"06001442200","#N/A","Alameda","06001","Bay Area Region","0.69","0.432","0.987","0.652","Highest Resource"
"06001442301","#N/A","Alameda","06001","Bay Area Region","0.321","0.567","0.817","0.226","High Resource"
"06001442302","#N/A","Alameda","06001","Bay Area Region","0.349","0.758","0.866","0.332","High Resource"
"06001442400","#N/A","Alameda","06001","Bay Area Region","0.508","0.687","0.623","0.226","High Resource"
"06001442500","#N/A","Alameda","06001","Bay Area Region","0.432","0.522","0.72","0.221","High Resource"
"06001442601","#N/A","Alameda","06001","Bay Area Region","0.475","0.781","0.643","0.248","High Resource"
"06001442602","#N/A","Alameda","06001","Bay Area Region","0.384","0.613","0.789","0.246","High Resource"
"06001442700","#N/A","Alameda","06001","Bay Area Region","0.514","0.395","0.728","0.253","High Resource"
"06001442800","#N/A","Alameda","06001","Bay Area Region","0.518","0.377","0.619","0.158","Moderate Resource"
"06001442900","#N/A","Alameda","06001","Bay Area Region","0.383","0.39","0.673","0.114","Moderate Resource"
"06001443001","#N/A","Alameda","06001","Bay Area Region","0.401","0.494","0.817","0.274","High Resource"
"06001443002","#N/A","Alameda","06001","Bay Area Region","0.327","0.574","0.777","0.193","Moderate Resource"
"06001443102","#N/A","Alameda","06001","Bay Area Region","0.771","0.683","0.951","0.691","Highest Resource"
"06001443103","#N/A","Alameda","06001","Bay Area Region","0.665","0.851","0.951","0.67","Highest Resource"
"06001443104","#N/A","Alameda","06001","Bay Area Region","0.714","0.745","0.989","0.732","Highest Resource"
"06001443105","#N/A","Alameda","06001","Bay Area Region","0.71","0.87","0.938","0.678","Highest Resource"
"06001443200","#N/A","Alameda","06001","Bay Area Region","0.859","0.854","0.935","0.777","Highest Resource"
"06001443301","#N/A","Alameda","06001","Bay Area Region","0.854","0.428","0.894","0.637","Highest Resource"
"06001443321","#N/A","Alameda","06001","Bay Area Region","0.556","0.499","0.927","0.493","High Resource"
"06001443322","#N/A","Alameda","06001","Bay Area Region","0.784","0.519","0.927","0.635","Highest Resource"
"06001444100","#N/A","Alameda","06001","Bay Area Region","0.452","0.672","0.441","0.014","Moderate Resource"
"06001444200","#N/A","Alameda","06001","Bay Area Region","0.372","0.87","0.46","0.022","Moderate Resource"
"06001444301","#N/A","Alameda","06001","Bay Area Region","0.398","0.884","0.381","-0.043","Moderate Resource"
"06001444302","#N/A","Alameda","06001","Bay Area Region","0.334","0.343","0.381","-0.221","Moderate Resource"
"06001444400","#N/A","Alameda","06001","Bay Area Region","0.275","0.735","0.43","-0.121","Moderate Resource"
"06001444500","#N/A","Alameda","06001","Bay Area Region","0.382","0.305","0.405","-0.164","Moderate Resource"
"06001444601","#N/A","Alameda","06001","Bay Area Region","0.493","0.152","0.746","0.161","Moderate Resource"
"06001444602","#N/A","Alameda","06001","Bay Area Region","0.635","0.399","0.693","0.292","High Resource"
"06001450101","#N/A","Alameda","06001","Bay Area Region","0.648","0.374","0.993","0.621","Highest Resource"
"06001450102","#N/A","Alameda","06001","Bay Area Region","0.479","0.643","0.993","0.582","Highest Resource"
"06001450200","#N/A","Alameda","06001","Bay Area Region","0.411","0.817","0.762","0.303","High Resource"
"06001450300","#N/A","Alameda","06001","Bay Area Region","0.454","0.338","0.762","0.226","High Resource"
"06001450400","#N/A","Alameda","06001","Bay Area Region","0.426","0.257","0.762","0.178","Moderate Resource"
"06001450501","#N/A","Alameda","06001","Bay Area Region","0.544","0.511","0.792","0.336","High Resource"
"06001450502","#N/A","Alameda","06001","Bay Area Region","0.665","0.319","0.852","0.43","High Resource"
"06001450601","#N/A","Alameda","06001","Bay Area Region","0.621","0.282","0.92","0.46","High Resource"
"06001450602","#N/A","Alameda","06001","Bay Area Region","0.531","0.259","0.937","0.421","High Resource"
"06001450603","#N/A","Alameda","06001","Bay Area Region","0.55","0.307","0.937","0.449","High Resource"
"06001450604","#N/A","Alameda","06001","Bay Area Region","0.626","0.551","0.947","0.564","Highest Resource"
"06001450605","#N/A","Alameda","06001","Bay Area Region","0.575","0.671","0.916","0.525","Highest Resource"
"06001450606","#N/A","Alameda","06001","Bay Area Region","0.636","0.524","0.942","0.558","Highest Resource"
"06001450607","#N/A","Alameda","06001","Bay Area Region","0.512","0.389","0.862","0.366","High Resource"
"06001450701","#N/A","Alameda","06001","Bay Area Region","0.726","0.366","0.858","0.479","High Resource"
"06001450741","#N/A","Alameda","06001","Bay Area Region","0.494","0.646","0.846","0.398","High Resource"
"06001450742","#N/A","Alameda","06001","Bay Area Region","0.568","0.35","0.846","0.367","High Resource"
"06001450743","#N/A","Alameda","06001","Bay Area Region","0.487","0.411","0.98","0.514","Highest Resource"
"06001450744","#N/A","Alameda","06001","Bay Area Region","0.625","0.38","0.992","0.603","Highest Resource"
"06001450745","#N/A","Alameda","06001","Bay Area Region","0.689","0.425","0.964","0.604","Highest Resource"
"06001450746","#N/A","Alameda","06001","Bay Area Region","0.541","0.429","0.859","0.385","High Resource"
"06001450750","#N/A","Alameda","06001","Bay Area Region","0.603","0.409","0.988","0.592","Highest Resource"
"06001450751","#N/A","Alameda","06001","Bay Area Region","0.719","0.556","0.988","0.694","Highest Resource"
"06001450752","#N/A","Alameda","06001","Bay Area Region","0.826","0.655","0.997","0.801","Highest Resource"
"06001451101","#N/A","Alameda","06001","Bay Area Region","0.447","0.001","0.73","-0.447","Low Resource"
"06001451102","#N/A","Alameda","06001","Bay Area Region","0.571","0.727","0.895","0.518","Highest Resource"
"06001451201","#N/A","Alameda","06001","Bay Area Region","0.365","0.264","0.733","0.108","Moderate Resource"
"06001451202","#N/A","Alameda","06001","Bay Area Region","0.391","0.256","0.733","0.126","Moderate Resource"
"06001451300","#N/A","Alameda","06001","Bay Area Region","0.37","0.263","0.631","0.027","Moderate Resource"
"06001451401","#N/A","Alameda","06001","Bay Area Region","0.438","0.188","0.403","-0.167","Moderate Resource"
"06001451403","#N/A","Alameda","06001","Bay Area Region","0.387","0.333","0.403","-0.154","Moderate Resource"
"06001451404","#N/A","Alameda","06001","Bay Area Region","0.34","0.151","0.403","-0.266","Moderate Resource"
"06001451501","#N/A","Alameda","06001","Bay Area Region","0.425","0.148","0.479","-0.131","Moderate Resource"
"06001451503","#N/A","Alameda","06001","Bay Area Region","0.381","0.226","0.479","-0.125","Moderate Resource"
"06001451504","#N/A","Alameda","06001","Bay Area Region","0.633","0.133","0.479","-0.018","Moderate Resource"
"06001451505","#N/A","Alameda","06001","Bay Area Region","0.509","0.231","0.633","0.121","Moderate Resource"
"06001451506","#N/A","Alameda","06001","Bay Area Region","0.273","0.156","0.479","-0.245","Moderate Resource"
"06001451601","#N/A","Alameda","06001","Bay Area Region","0.572","0.359","0.648","0.213","High Resource"
"06001451602","#N/A","Alameda","06001","Bay Area Region","0.482","0.271","0.802","0.251","High Resource"
"06001451701","#N/A","Alameda","06001","Bay Area Region","0.415","0.516","0.802","0.271","High Resource"
"06001451703","#N/A","Alameda","06001","Bay Area Region","0.574","0.568","0.802","0.379","High Resource"
"06001451704","#N/A","Alameda","06001","Bay Area Region","0.418","0.592","0.895","0.395","High Resource"
"06001981900","#N/A","Alameda","06001","Bay Area Region","#N/A","#N/A","#N/A","#N/A","#N/A"
"06001982000","#N/A","Alameda","06001","Bay Area Region","0.574","0.019","0.16","-0.6","Low Resource"
"06001983200","#N/A","Alameda","06001","Bay Area Region","0.917","0.049","0.445","0.083","Moderate Resource"
"06001990000","#N/A","Alameda","06001","Bay Area Region","#N/A","#N/A","#N/A","#N/A","#N/A"
"06013302005","#N/A","Contra Costa","06013","Bay Area Region","0.033","0.281","0.341","-0.633","Low Resource"
"06013302006","#N/A","Contra Costa","06013","Bay Area Region","0.167","0.277","0.341","-0.415","Low Resource"
"06013302007","#N/A","Contra Costa","06013","Bay Area Region","0.05","0.287","0.392","-0.53","Low Resource"
"06013302008","#N/A","Contra Costa","06013","Bay Area Region","0.124","0.216","0.432","-0.385","Low Resource"
"06013302009","#N/A","Contra Costa","06013","Bay Area Region","0.201","0.631","0.308","-0.323","Low Resource"
"06013302010","#N/A","Contra Costa","06013","Bay Area Region","0.291","0.354","0.49","-0.137","Moderate Resource"
"06013303102","#N/A","Contra Costa","06013","Bay Area Region","0.261","0.217","0.517","-0.181","Moderate Resource"
"06013303103","#N/A","Contra Costa","06013","Bay Area Region","0.089","0.031","0.529","-0.551","Low Resource"
"06013303201","#N/A","Contra Costa","06013","Bay Area Region","0.17","0.289","0.593","-0.158","Moderate Resource"
"06013303202","#N/A","Contra Costa","06013","Bay Area Region","0.205","0.285","0.617","-0.105","Moderate Resource"
"06013303203","#N/A","Contra Costa","06013","Bay Area Region","0.261","0.191","0.661","-0.056","Moderate Resource"
"06013303204","#N/A","Contra Costa","06013","Bay Area Region","0.113","0.224","0.602","-0.236","Moderate Resource"
"06013303205","#N/A","Contra Costa","06013","Bay Area Region","0.237","0.14","0.602","-0.161","Moderate Resource"
"06013304001","#N/A","Contra Costa","06013","Bay Area Region","0.247","0.295","0.683","-0.007","Moderate Resource"
"06013305000","#N/A","Contra Costa","06013","Bay Area Region","0.004","0.047","0.053","-1.296","Low Resource"
"06013306002","#N/A","Contra Costa","06013","Bay Area Region","0.065","0.18","0.156","-0.796","Low Resource"
"06013306003","#N/A","Contra Costa","06013","Bay Area Region","0.145","0.146","0.074","-0.788","Low Resource"
"06013306004","#N/A","Contra Costa","06013","Bay Area Region","0.058","0.246","0.11","-0.828","Low Resource"
"06013307101","#N/A","Contra Costa","06013","Bay Area Region","0.046","0.659","0.15","-0.709","Low Resource"
"06013307102","#N/A","Contra Costa","06013","Bay Area Region","0.02","0.13","0.057","-1.057","Low Resource"
"06013307201","#N/A","Contra Costa","06013","Bay Area Region","0.015","0.337","0.097","-0.922","Low Resource"
"06013307202","#N/A","Contra Costa","06013","Bay Area Region","0","0.177","0.087","#N/A","High Segregation & Poverty"
"06013307204","#N/A","Contra Costa","06013","Bay Area Region","0.061","0.566","0.088","-0.762","Low Resource"
"06013307205","#N/A","Contra Costa","06013","Bay Area Region","0.005","0.26","0.099","-1.078","Low Resource"
"06013308001","#N/A","Contra Costa","06013","Bay Area Region","0.011","0.226","0.165","-0.921","Low Resource"
"06013308002","#N/A","Contra Costa","06013","Bay Area Region","0.138","0.309","0.221","-0.562","Low Resource"
"06013309000","#N/A","Contra Costa","06013","Bay Area Region","0.017","0.01","0.208","-1.162","Low Resource"
"06013310000","#N/A","Contra Costa","06013","Bay Area Region","0.021","0.059","0.208","-0.952","Low Resource"
"06013311000","#N/A","Contra Costa","06013","Bay Area Region","0.019","0.084","0.208","-0.919","Low Resource"
"06013312000","#N/A","Contra Costa","06013","Bay Area Region","0.002","0.085","0.219","-1.106","Low Resource"
"06013313101","#N/A","Contra Costa","06013","Bay Area Region","0.033","0.27","0.172","-0.819","Low Resource"
"06013313102","#N/A","Contra Costa","06013","Bay Area Region","0.036","0.392","0.144","-0.808","Low Resource"
"06013313103","#N/A","Contra Costa","06013","Bay Area Region","0.118","0.271","0.172","-0.653","Low Resource"
"06013313203","#N/A","Contra Costa","06013","Bay Area Region","0.119","0.212","0.21","-0.632","Low Resource"
"06013313204","#N/A","Contra Costa","06013","Bay Area Region","0.068","0.17","0.279","-0.669","Low Resource"
"06013313205","#N/A","Contra Costa","06013","Bay Area Region","0.12","0.344","0.227","-0.564","Low Resource"
"06013313206","#N/A","Contra Costa","06013","Bay Area Region","0.021","0.192","0.203","-0.853","Low Resource"
"06013314102","#N/A","Contra Costa","06013","Bay Area Region","0.103","0.081","0.139","-0.823","Low Resource"
"06013314103","#N/A","Contra Costa","06013","Bay Area Region","0.026","0.015","0.098","-1.222","Low Resource"
"06013314104","#N/A","Contra Costa","06013","Bay Area Region","0.126","0.042","0.188","-0.796","Low Resource"
"06013314200","#N/A","Contra Costa","06013","Bay Area Region","0.007","0.099","0.17","-1.038","Low Resource"
"06013315000","#N/A","Contra Costa","06013","Bay Area Region","0.154","0.031","0.136","-0.872","Low Resource"
"06013316000","#N/A","Contra Costa","06013","Bay Area Region","0.006","0.186","0.538","#N/A","High Segregation & Poverty"
"06013317000","#N/A","Contra Costa","06013","Bay Area Region","0.387","0.002","0.538","-0.656","Low Resource"
"06013318000","#N/A","Contra Costa","06013","Bay Area Region","0.276","0.43","0.647","0.027","Moderate Resource"
"06013319000","#N/A","Contra Costa","06013","Bay Area Region","0.319","0.117","0.536","-0.173","Moderate Resource"
"06013320001","#N/A","Contra Costa","06013","Bay Area Region","0.126","0.018","0.536","-0.56","Low Resource"
"06013320003","#N/A","Contra Costa","06013","Bay Area Region","0.565","0.498","0.536","0.133","Moderate Resource"
"06013320004","#N/A","Contra Costa","06013","Bay Area Region","0.43","0.164","0.556","-0.045","Moderate Resource"
"06013321101","#N/A","Contra Costa","06013","Bay Area Region","0.411","0.513","0.556","0.058","Moderate Resource"
"06013321102","#N/A","Contra Costa","06013","Bay Area Region","0.592","0.842","0.676","0.356","High Resource"
"06013321103","#N/A","Contra Costa","06013","Bay Area Region","0.472","0.721","0.671","0.256","High Resource"
"06013321200","#N/A","Contra Costa","06013","Bay Area Region","0.259","0.401","0.534","-0.104","Moderate Resource"
"06013322000","#N/A","Contra Costa","06013","Bay Area Region","0.435","0.538","0.614","0.144","Moderate Resource"
"06013323000","#N/A","Contra Costa","06013","Bay Area Region","0.468","0.485","0.618","0.156","Moderate Resource"
"06013324001","#N/A","Contra Costa","06013","Bay Area Region","0.438","0.23","0.47","-0.079","Moderate Resource"
"06013324002","#N/A","Contra Costa","06013","Bay Area Region","0.467","0.188","0.484","-0.078","Moderate Resource"
